DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
C. MINA DE SANTO DOMINGO,ESQ.: C.5,REACOMO DE PINO SUÁREZ,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,204919","19,395675",WIFI GRATUITO_ACTIVO
C. FRANCISCO P. MIRANDA,BLVD. ADOLFO LOPEZ MATEOS (LATERAL),MERCED GOMEZ,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,192079","19,36974",WIFI GRATUITO_ACTIVO
RT. 2 ,ESQ.: C. DR. FCO. DE P. MIRANDA,MERCED GÓMEZ,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,192746","19,367535",WIFI GRATUITO_ACTIVO
AV. CARLOS LAZO,AV. JAVIER BARROS SIERRA,PUEBLO DE SANTA FE,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,261982","19,361811",WIFI GRATUITO_ACTIVO
C. PASO DEL REY,C. RIO TACUBAYA,2da AMPL. LA MEXICANA,ALVARO OBREGON,9m,CON BOTON,CON ALTAVOZ,"-99,231552","19,37965",WIFI GRATUITO_ACTIVO
C. LOMAS DE TARANGO,C. LOMA CHICA,LOMAS DE TARANGO,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,216768","19,362401",WIFI GRATUITO_ACTIVO
C. TOLUCA,C. TRANSMISIONES ,OLIVAR DE LOS PADRES,ALVARO OBREGON,9m,CON BOTON,SIN ALTAVOZ,"-99,209495","19,340809",WIFI GRATUITO_ACTIVO
C. EMILIANO ZAPATA,C. PARROQUIA,AMPL. TLACOYAQUE,ALVARO OBREGON,9m,SIN BOTON,CON ALTAVOZ,"-99,266557","19,318284",WIFI GRATUITO_ACTIVO
C. QUERETARO,C. CHIAPAS,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,9m,CON BOTON,CON ALTAVOZ,"-99,154822","19,550776",WIFI GRATUITO_ACTIVO
AV. CEYLAN,C. PONIENTE 134,INDUSTRIAL VALLEJO,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,170941","19,495962",WIFI GRATUITO_ACTIVO
